Location,Year,TrackLength,NumDrs,NumCorners,TrackRotation,Turn1X,Turn1Y,Turn2X,Turn2Y,Turn3X,Turn3Y,Turn4X,Turn4Y,Turn5X,Turn5Y,Turn6X,Turn6Y,Turn7X,Turn7Y,Turn8X,Turn8Y,Turn9X,Turn9Y,Turn10X,Turn10Y,Turn11X,Turn11Y,Turn12X,Turn12Y,Turn13X,Turn13Y,Turn14X,Turn14Y,Turn15X,Turn15Y,Turn16X,Turn16Y,Turn17X,Turn17Y,Turn18X,Turn18Y,Turn19X,Turn19Y,Turn20X,Turn20Y,Turn21X,Turn21Y,Turn22X,Turn22Y,Turn23X,Turn23Y,Turn24X,Turn24Y,Turn25X,Turn25Y,Turn26X,Turn26Y,Turn27X,Turn27Y
Spielberg,2020,4.318,2,10,1.0,-3063.95654296875,-2208.505859375,-6314.69482421875,3218.050048828125,-8209.9208984375,5460.17724609375,-266.37420654296875,4694.2724609375,-1473.040283203125,3462.345947265625,-4632.14404296875,3322.6875,-3272.00830078125,853.0664672851562,-1618.7939453125,1948.8214111328125,3669.864501953125,1852.27734375,4201.1748046875,85.38370513916016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Budapest,2020,4.381,2,16,40.0,-6033.7314453125,4029.2685546875,-4288.64501953125,3778.159912109375,-1739.7655029296875,2279.862060546875,-2081.064208984375,3944.518310546875,137.27439880371094,8089.453125,-20.38125991821289,10382.619140625,2399.324462890625,8671.92578125,2251.829833984375,8271.9306640625,2747.3857421875,6726.5771484375,3969.8935546875,6201.38525390625,3859.828125,4303.83642578125,4508.7236328125,2507.1708984375,1823.3304443359375,-301.9350891113281,917.1895751953125,547.991455078125,-202.31922912597656,920.361572265625,828.6363525390625,-1344.8851318359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Silverstone,2020,5.891,2,18,92.0,1192.50830078125,4503.826171875,2770.315185546875,4462.89208984375,4845.322265625,5895.13037109375,5802.7041015625,4733.5244140625,6232.291015625,6458.9794921875,631.385986328125,10910.232421875,-566.2516479492188,9540.3837890625,761.3385620117188,12361.55859375,5893.8935546875,12947.2099609375,7295.830078125,7780.4658203125,7534.9931640625,6906.171875,7336.6962890625,5474.73486328125,7776.478515625,4163.52197265625,6806.81005859375,3146.68896484375,2398.9521484375,-4099.2412109375,-620.4287109375,-993.7661743164062,-1438.0526123046875,-1146.76318359375,-2309.334228515625,-105.71966552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barcelona,2020,4.655,2,16,303.0,-3728.05029296875,-7258.6728515625,-4538.2138671875,-7090.6689453125,-6846.68701171875,-7532.82373046875,-5053.705078125,-3172.251708984375,-5760.50341796875,-6343.96533203125,-3511.338623046875,-5588.65185546875,-2657.036865234375,-4195.921875,-3287.30078125,-3536.36962890625,-3938.748046875,-911.7788696289062,869.1649169921875,1933.093017578125,-326.2638854980469,2196.596435546875,-1556.8873291015625,2107.8310546875,-170.4140625,3724.0,883.0264892578125,3076.24169921875,1272.7481689453125,3302.875244140625,2294.98974609375,2150.14013671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spa-Francorchamps,2020,7.004,2,19,91.0,-2268.255615234375,4480.01220703125,2999.999267578125,504.4121398925781,3817.088134765625,-223.75808715820312,4054.815185546875,-1175.5828857421875,8288.3798828125,-11558.162109375,7822.23583984375,-12185.4541015625,7960.5205078125,-13774.4111328125,4795.484375,-15569.1689453125,6124.01416015625,-13828.8994140625,4679.7138671875,-8919.283203125,2442.751220703125,-8984.7734375,765.8057861328125,-12791.740234375,-711.81396484375,-12662.1513671875,-2527.06591796875,-14855.037109375,-4336.47314453125,-13437.90234375,370.2557678222656,-8378.4921875,1346.130126953125,-5851.3837890625,24.782848358154297,-701.6300048828125,549.4779052734375,-386.9144592285156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monza,2020,5.793,2,11,95.0,-569.5805053710938,8153.724609375,-146.75457763671875,8474.9814453125,611.6001586914062,13310.6201171875,6808.6552734375,14630.75390625,7130.8720703125,15023.123046875,10554.8564453125,15713.8046875,10972.642578125,12648.357421875,2562.920166015625,6171.0234375,2478.04150390625,5270.56201171875,1890.1082763671875,4451.185546875,-55.33073425292969,-5800.1669921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mugello,2020,5.245,1,0,273.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sochi,2020,5.848,2,18,324.0,-1087.9032409274578,-3965.4585258385446,-8307.561522466332,-6386.958155513548,-11895.091066264795,-4887.853858686007,-11890.805463400999,-8574.953748968239,-15595.89563113212,-10772.025526630518,-16685.440374643375,-8432.943398181473,-16351.680236542239,-6793.470353102614,-13573.626984443701,-6301.700293847869,-13213.528597661436,-5181.064305300679,-14070.049855042664,-2769.9911348696114,-9877.80092415907,-2166.345102144356,-5514.99633299347,-3679.179920045981,-3352.7188052381844,-3458.1405328119563,-2791.95047373098,-4400.109173050213,-1142.7696633149617,-2664.46012802478,-1717.3144588536625,-1926.834104295719,187.97220871107947,1009.9383949065004,1643.8673614779,359.92430821156995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nürburgring,2020,5.148,1,15,327.0,-2960.7265625,-4260.5556640625,-2634.37353515625,-2487.387451171875,-4690.2216796875,-2910.337890625,-3856.30078125,-3354.125732421875,-4644.2734375,-8183.140625,-3572.104248046875,-9135.521484375,-8064.6611328125,-12769.9482421875,-5799.12548828125,-9622.5361328125,-5876.3427734375,-8478.802734375,-4677.0126953125,-4507.01904296875,-6295.044921875,-3430.306884765625,-3719.56396484375,-92.44921112060547,666.461181640625,1096.2901611328125,747.4179077148438,1437.0936279296875,3437.742919921875,1892.5452880859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Portimão,2020,4.653,2,15,74.0,-3572.43603515625,7808.1279296875,-2277.677001953125,8685.6494140625,-892.9807739257812,8235.65234375,-1895.142333984375,7221.09912109375,-194.9493408203125,1906.0338134765625,16.85721778869629,4148.71337890625,-798.828857421875,6282.61376953125,262.0026550292969,7177.99755859375,859.696533203125,3923.0576171875,2965.125732421875,2481.553466796875,3071.564453125,1833.7901611328125,1188.5244140625,923.5015258789062,730.5706787109375,-925.0730590820312,2383.842529296875,231.95425415039062,624.3900756835938,-2768.75927734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
